Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
All,Chrome 71.0.3578.98,,2018-12-27 15:24:39,2018-12-27 15:24:55,16.138s,PASSED
,,,,,,
Test Cases/Python Test Cases/Python Do Something On Web,Chrome 71.0.3578.98,,2018-12-27 15:24:39,2018-12-27 15:24:53,13.976s,PASSED
"openBrowser(""https://www.katalon.com"")",Chrome 71.0.3578.98,,2018-12-27 15:24:39,2018-12-27 15:24:50,10.540s,PASSED
demo.PythonKeywords.gotoGoogle(),Chrome 71.0.3578.98,,2018-12-27 15:24:50,2018-12-27 15:24:52,2.312s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2018-12-27 15:24:52,2018-12-27 15:24:53,0.717s,PASSED
,,,,,,
Test Cases/Python Test Cases/Python Hello World,Chrome 71.0.3578.98,,2018-12-27 15:24:53,2018-12-27 15:24:55,1.836s,PASSED
"demo.PythonKeywords.helloWorld(11, 15)",Chrome 71.0.3578.98,,2018-12-27 15:24:53,2018-12-27 15:24:55,1.631s,PASSED
